                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 1.7149,                0.87094,                0.93149,                0.62052,                 0.5772,                0.57349,                0.25853,                 1.7931,                0.93362,                0.95393,             0.00051015,             0.00051015,             0.00051015
                     36,                 1.7341,                0.87865,                0.92766,                0.62883,                0.62101,                0.61825,                0.28056,                 1.7875,                0.91755,                0.95456,             0.00050254,             0.00050254,             0.00050254
                     37,                 1.7367,                0.86444,                0.93117,                0.60234,                0.60823,                0.61447,                0.27338,                 1.7903,                0.95343,                0.95192,             0.00049493,             0.00049493,             0.00049493
                     38,                 1.7108,                0.86289,                0.93194,                0.63812,                0.62061,                0.63001,                0.28757,                 1.7466,                0.82068,                0.95278,             0.00048732,             0.00048732,             0.00048732
                     39,                 1.6979,                0.85115,                0.93104,                0.60308,                0.59959,                0.59485,                0.26897,                 1.8133,                0.91845,                 0.9552,              0.0004797,              0.0004797,              0.0004797
                     40,                 1.6904,                0.85319,                0.93217,                0.62342,                0.63214,                0.61534,                0.27195,                 1.8025,                0.84225,                0.95344,             0.00047209,             0.00047209,             0.00047209
                     41,                 1.7153,                0.86794,                0.92737,                0.57881,                0.64659,                0.61377,                0.27784,                  1.806,                 1.0346,                0.95913,             0.00046448,             0.00046448,             0.00046448
                     42,                 1.6887,                0.84651,                0.92641,                0.63737,                0.57724,                0.59597,                0.26118,                 1.8515,                 1.1667,                0.96508,             0.00045686,             0.00045686,             0.00045686
                     43,                 1.6837,                0.84721,                0.92946,                 0.6238,                0.62506,                0.59547,                0.27216,                  1.781,                0.99265,                0.94908,             0.00044925,             0.00044925,             0.00044925
                     44,                 1.6906,                 0.8384,                0.92954,                0.62189,                0.59501,                0.59376,                0.26138,                 1.8343,                   1.01,                0.96084,             0.00044164,             0.00044164,             0.00044164
                     45,                 1.6693,                0.84285,                0.92954,                0.67115,                0.61568,                0.61012,                0.28142,                 1.8501,                0.88445,                0.96019,             0.00043402,             0.00043402,             0.00043402
                     46,                 1.6992,                0.84027,                0.92751,                0.63161,                0.64901,                0.67595,                 0.3046,                 1.7714,                0.86849,                0.95173,             0.00042641,             0.00042641,             0.00042641
                     47,                 1.6727,                0.83352,                0.92178,                0.57027,                0.62283,                0.58953,                0.26113,                 1.8074,                  1.082,                 0.9529,              0.0004188,              0.0004188,              0.0004188
                     48,                 1.6933,                  0.836,                0.92283,                0.64052,                0.62135,                0.63521,                0.28634,                 1.8207,                0.88651,                 0.9618,             0.00041118,             0.00041118,             0.00041118
                     49,                 1.6643,                0.80971,                0.92296,                 0.6504,                0.64654,                0.63666,                 0.3016,                  1.769,                0.84355,                0.94985,             0.00040357,             0.00040357,             0.00040357
                     50,                  1.683,                0.81749,                0.92472,                0.70931,                0.61954,                0.66053,                0.30088,                 1.7702,                0.87838,                0.94937,             0.00039596,             0.00039596,             0.00039596
                     51,                 1.6895,                0.82037,                0.92592,                0.70274,                0.61617,                0.64069,                0.28842,                 1.7487,                0.79705,                0.95692,             0.00038835,             0.00038835,             0.00038835
                     52,                 1.6691,                0.82637,                0.93002,                0.70532,                0.60688,                0.64288,                0.29248,                 1.7954,                0.87202,                  0.957,             0.00038073,             0.00038073,             0.00038073
                     53,                 1.6628,                0.82188,                0.92262,                  0.646,                0.59844,                0.62486,                0.28159,                 1.7813,                0.89732,                0.95318,             0.00037312,             0.00037312,             0.00037312
                     54,                 1.6761,                0.81589,                0.92196,                0.70495,                0.57999,                0.63852,                 0.2851,                 1.7915,                0.82775,                0.94984,             0.00036551,             0.00036551,             0.00036551
                     55,                 1.6416,                0.81205,                0.92365,                 0.6298,                0.61511,                0.62055,                0.28115,                 1.8277,                 1.0053,                0.96279,             0.00035789,             0.00035789,             0.00035789
                     56,                 1.6644,                0.80952,                 0.9225,                0.63485,                0.62361,                 0.6364,                0.27729,                 1.8184,                0.94943,                0.95726,             0.00035028,             0.00035028,             0.00035028
                     57,                 1.6571,                0.81256,                 0.9209,                0.67725,                0.64226,                0.65002,                0.29648,                 1.7655,                0.81702,                0.95095,             0.00034267,             0.00034267,             0.00034267
                     58,                 1.6876,                0.80355,                0.91965,                0.70389,                0.58326,                0.63796,                0.28989,                   1.83,                0.88293,                0.95865,             0.00033505,             0.00033505,             0.00033505
                     59,                 1.6384,                0.80314,                0.92108,                 0.6765,                0.64137,                0.63584,                 0.2879,                 1.7834,                 0.8322,                 0.9536,             0.00032744,             0.00032744,             0.00032744
                     60,                 1.6605,                0.79276,                0.91808,                0.66173,                0.63613,                0.64849,                0.28633,                 1.8039,                0.94299,                0.95447,             0.00031983,             0.00031983,             0.00031983
                     61,                 1.6458,                0.79595,                 0.9155,                0.66237,                0.60333,                0.63447,                0.27934,                  1.888,                0.99867,                0.96575,             0.00031221,             0.00031221,             0.00031221
                     62,                 1.6393,                0.78132,                0.91634,                0.66614,                0.62664,                0.62939,                0.28844,                 1.8152,                0.83934,                0.95376,              0.0003046,              0.0003046,              0.0003046
                     63,                 1.6082,                0.76466,                0.91543,                0.70884,                0.62694,                0.65175,                0.29775,                 1.7713,                0.81326,                0.95151,             0.00029699,             0.00029699,             0.00029699
                     64,                 1.6276,                0.77989,                0.91492,                0.68672,                 0.6463,                0.66054,                0.30939,                 1.7824,                0.81066,                0.95311,             0.00028937,             0.00028937,             0.00028937
                     65,                 1.5972,                0.77029,                0.91568,                 0.6497,                 0.6412,                0.63907,                0.29251,                 1.7633,                0.83088,                0.95337,             0.00028176,             0.00028176,             0.00028176
                     66,                 1.6396,                0.77176,                0.91654,                0.62547,                 0.6433,                 0.6201,                0.29006,                 1.8119,                 1.2557,                 0.9575,             0.00027415,             0.00027415,             0.00027415
                     67,                 1.6119,                0.77981,                0.91058,                0.65694,                0.64265,                0.63569,                0.29175,                 1.7855,                0.81912,                0.95066,             0.00026654,             0.00026654,             0.00026654
                     68,                 1.6273,                0.76397,                0.90873,                0.70959,                0.62965,                0.65899,                0.29581,                 1.7942,                0.79677,                0.95925,             0.00025892,             0.00025892,             0.00025892
