                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     34,                 1.4976,                0.78443,                  1.135,                0.72964,                0.72345,                 0.7463,                0.35189,                 1.8488,                0.98781,                 1.3488,             0.00026654,             0.00026654,             0.00026654
                     35,                 1.4821,                 0.7754,                 1.1319,                0.73281,                0.71987,                0.74062,                0.34589,                  1.857,                 1.1068,                 1.3533,             0.00025131,             0.00025131,             0.00025131
                     36,                 1.4959,                0.77626,                 1.1267,                0.72761,                0.74344,                0.76605,                0.36074,                 1.8175,                0.99212,                 1.3317,             0.00023608,             0.00023608,             0.00023608
                     37,                  1.484,                0.77194,                 1.1241,                0.72577,                0.73522,                0.74576,                0.33467,                 1.8207,                0.98786,                 1.3334,             0.00022086,             0.00022086,             0.00022086
                     38,                 1.4581,                0.75715,                 1.1236,                0.75334,                0.69792,                0.73835,                0.34674,                 1.8252,                0.92267,                 1.3416,             0.00020563,             0.00020563,             0.00020563
                     39,                 1.4425,                0.74697,                 1.1222,                0.72136,                0.70335,                 0.7083,                0.32337,                 1.8408,                 1.1705,                 1.3501,              0.0001904,              0.0001904,              0.0001904
                     40,                 1.4259,                0.73804,                 1.1243,                0.78444,                 0.7031,                0.75464,                0.35048,                 1.8249,                0.93981,                 1.3427,             0.00017518,             0.00017518,             0.00017518
                     41,                  1.437,                0.73139,                 1.1316,                0.72666,                0.69637,                0.71026,                0.32838,                 1.8579,                 1.3419,                 1.3574,             0.00015995,             0.00015995,             0.00015995
                     42,                 1.4311,                0.71479,                 1.1287,                0.71348,                0.70725,                0.71023,                0.32791,                 1.8404,                 1.1239,                 1.3536,             0.00014473,             0.00014473,             0.00014473
                     43,                 1.4186,                0.70421,                 1.1326,                0.73181,                0.71059,                0.71987,                0.33212,                 1.8445,                0.96463,                  1.352,              0.0001295,              0.0001295,              0.0001295
                     44,                 1.4046,                   0.69,                 1.1228,                 0.7406,                0.72088,                0.72722,                0.33499,                 1.8716,                 1.0709,                 1.3804,             0.00011427,             0.00011427,             0.00011427
                     45,                 1.3812,                0.67847,                 1.1095,                0.72991,                0.72688,                0.73476,                0.33356,                  1.862,                 1.0279,                 1.3717,             9.9047e-05,             9.9047e-05,             9.9047e-05
                     46,                 1.3869,                0.67409,                 1.1072,                0.72743,                0.73606,                0.73396,                0.34182,                 1.8699,                 1.0573,                 1.3751,             8.3821e-05,             8.3821e-05,             8.3821e-05
                     47,                 1.3744,                0.67317,                 1.1004,                0.74357,                0.73332,                0.74403,                0.34473,                 1.8672,                0.91994,                 1.3751,             6.8595e-05,             6.8595e-05,             6.8595e-05
                     48,                 1.3633,                 0.6641,                 1.0961,                0.73672,                0.72601,                0.74463,                 0.3428,                 1.8675,                0.97762,                 1.3824,             5.3369e-05,             5.3369e-05,             5.3369e-05
                     49,                 1.3637,                0.66091,                 1.0973,                0.73069,                0.70702,                 0.7202,                0.33656,                 1.8718,                  1.102,                 1.3775,             3.8142e-05,             3.8142e-05,             3.8142e-05
                     50,                 1.3551,                0.66003,                 1.0914,                0.74808,                0.69923,                0.71913,                0.33321,                 1.8734,                 1.0574,                 1.3822,             2.2916e-05,             2.2916e-05,             2.2916e-05
