                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.9678,                 3.1129,                 1.3639,                0.56674,                0.14588,                0.30228,                0.13926,                 1.9554,                 2.8298,                 1.3615,             0.00025342,             0.00025342,             0.00025342
                      2,                 1.8618,                 1.7193,                 1.2765,                0.41863,                0.53327,                0.43182,                0.19946,                  1.938,                 1.8799,                 1.3339,             0.00050471,             0.00050471,             0.00050471
                      3,                 1.8096,                 1.5707,                 1.2898,                0.50498,                0.61603,                 0.5569,                0.26546,                 1.8771,                 1.5294,                 1.3034,             0.00075092,             0.00075092,             0.00075092
                      4,                 1.7806,                 1.4281,                 1.2564,                0.59515,                0.64454,                0.62759,                0.29392,                 1.8553,                 1.3323,                 1.3334,             0.00074616,             0.00074616,             0.00074616
                      5,                 1.7685,                  1.365,                 1.2599,                0.62573,                0.63087,                0.63163,                0.29307,                 1.8312,                 1.2561,                 1.3167,             0.00073855,             0.00073855,             0.00073855
                      6,                 1.7471,                 1.2774,                 1.2434,                0.58235,                0.66157,                0.62892,                0.28519,                 1.8223,                 1.4369,                 1.3113,             0.00073093,             0.00073093,             0.00073093
                      7,                 1.7309,                 1.2235,                 1.2406,                0.57169,                 0.6249,                0.60153,                0.28074,                 1.8268,                 1.3557,                 1.3305,             0.00072332,             0.00072332,             0.00072332
                      8,                 1.7188,                 1.2185,                  1.232,                0.64249,                0.71134,                 0.6743,                0.30861,                 1.7947,                 1.2231,                 1.3022,             0.00071571,             0.00071571,             0.00071571
                      9,                 1.6793,                  1.198,                 1.2264,                 0.6423,                0.61727,                0.63621,                0.30257,                 1.7761,                 1.6223,                 1.3232,              0.0007081,              0.0007081,              0.0007081
                     10,                 1.6805,                 1.1677,                 1.2315,                0.60386,                0.66573,                0.65279,                0.31213,                 1.8213,                 1.3773,                 1.3281,             0.00070048,             0.00070048,             0.00070048
                     11,                 1.6954,                 1.1102,                 1.2179,                0.60937,                0.71542,                0.68098,                0.31919,                 1.8432,                 1.2729,                 1.3382,             0.00069287,             0.00069287,             0.00069287
                     12,                 1.6704,                 1.0846,                 1.2169,                0.69988,                0.67693,                0.68185,                 0.3268,                 1.7923,                 1.1803,                 1.3127,             0.00068526,             0.00068526,             0.00068526
                     13,                 1.6759,                 1.0917,                 1.2204,                0.67373,                 0.6814,                 0.6967,                0.33911,                  1.766,                 1.1167,                 1.3005,             0.00067764,             0.00067764,             0.00067764
                     14,                 1.6601,                 1.0539,                 1.2085,                0.69536,                0.72822,                0.73009,                0.34017,                 1.8023,                 1.1435,                 1.3274,             0.00067003,             0.00067003,             0.00067003
                     15,                 1.6595,                 1.0496,                 1.2096,                0.69675,                 0.7091,                0.70146,                0.33853,                 1.8126,                 1.1823,                 1.3441,             0.00066242,             0.00066242,             0.00066242
                     16,                 1.6705,                 1.0439,                 1.2107,                  0.682,                0.71485,                0.73789,                0.35371,                 1.7868,                   1.09,                 1.3216,              0.0006548,              0.0006548,              0.0006548
                     17,                 1.6639,                 1.0361,                 1.2175,                0.59895,                0.65905,                0.62101,                 0.3022,                 1.8026,                 1.3912,                  1.324,             0.00064719,             0.00064719,             0.00064719
                     18,                 1.6499,                0.99982,                 1.1991,                 0.7179,                0.67159,                0.72244,                0.34762,                 1.7817,                 1.2536,                 1.3252,             0.00063958,             0.00063958,             0.00063958
                     19,                 1.6303,                0.99108,                 1.2007,                0.75157,                0.71642,                0.75517,                0.34912,                 1.8093,                 1.0552,                  1.332,             0.00063196,             0.00063196,             0.00063196
                     20,                 1.6259,                0.97293,                 1.2013,                0.74083,                0.70926,                0.73814,                0.34952,                 1.7792,                 1.0831,                 1.3321,             0.00062435,             0.00062435,             0.00062435
                     21,                 1.6141,                0.96378,                 1.2006,                0.70604,                0.69758,                0.72488,                0.35353,                 1.7997,                 1.0639,                 1.3284,             0.00061674,             0.00061674,             0.00061674
                     22,                 1.6235,                0.97707,                    1.2,                0.64367,                0.73027,                0.69458,                 0.3253,                 1.8408,                 1.1708,                 1.3379,             0.00060912,             0.00060912,             0.00060912
                     23,                 1.5999,                0.93902,                 1.1882,                0.71458,                0.68344,                0.73548,                0.34071,                  1.851,                 1.0872,                  1.366,             0.00060151,             0.00060151,             0.00060151
                     24,                 1.5969,                0.94985,                 1.1971,                0.67467,                0.73345,                0.71169,                0.34863,                 1.7959,                 1.1892,                 1.3308,              0.0005939,              0.0005939,              0.0005939
                     25,                 1.5971,                0.93514,                 1.1887,                0.72204,                0.70026,                0.72878,                0.34635,                 1.8389,                 1.0723,                 1.3539,             0.00058629,             0.00058629,             0.00058629
                     26,                 1.6022,                 0.9275,                 1.1875,                0.70519,                0.74651,                0.73196,                0.35621,                 1.7769,                  1.066,                  1.319,             0.00057867,             0.00057867,             0.00057867
                     27,                 1.5823,                0.90817,                 1.1896,                0.69708,                0.74917,                0.74012,                0.34869,                 1.7922,                 1.0389,                 1.3392,             0.00057106,             0.00057106,             0.00057106
                     28,                 1.5808,                0.90324,                 1.1846,                0.74183,                0.73513,                 0.7646,                0.36552,                 1.7929,                0.99074,                 1.3224,             0.00056345,             0.00056345,             0.00056345
                     29,                 1.5735,                0.88722,                 1.1778,                0.74609,                0.71045,                0.74779,                0.35013,                 1.7913,                 1.0165,                 1.3459,             0.00055583,             0.00055583,             0.00055583
                     30,                 1.5756,                0.88698,                 1.1794,                0.75042,                0.67451,                0.73435,                0.35181,                 1.7975,                 1.0052,                 1.3302,             0.00054822,             0.00054822,             0.00054822
                     31,                 1.5697,                0.87894,                 1.1824,                0.73698,                0.73599,                0.76716,                0.36247,                 1.7879,                 1.0124,                 1.3359,             0.00054061,             0.00054061,             0.00054061
                     32,                  1.563,                 0.8754,                 1.1773,                0.73883,                 0.6837,                0.73306,                0.33459,                 1.7999,                  1.101,                  1.326,             0.00053299,             0.00053299,             0.00053299
                     33,                 1.5434,                0.85365,                 1.1666,                 0.7044,                0.70095,                 0.7115,                0.32351,                 1.8344,                 1.1884,                 1.3621,             0.00052538,             0.00052538,             0.00052538
                     34,                 1.5534,                0.85936,                 1.1739,                0.71634,                0.70428,                0.72071,                0.33594,                 1.8283,                  1.121,                 1.3597,             0.00051777,             0.00051777,             0.00051777
                     35,                 1.5546,                0.84935,                  1.165,                0.71414,                0.68608,                0.73073,                0.34242,                 1.8244,                 1.0699,                 1.3498,             0.00051015,             0.00051015,             0.00051015
                     36,                 1.5406,                0.84179,                 1.1633,                0.71048,                0.71131,                0.75605,                 0.3624,                 1.8289,                 1.0462,                  1.358,             0.00050254,             0.00050254,             0.00050254
                     37,                 1.5525,                0.84218,                 1.1608,                0.69345,                0.75849,                0.76029,                0.35492,                 1.8002,                 1.0065,                 1.3354,             0.00049493,             0.00049493,             0.00049493
                     38,                 1.5135,                0.81471,                 1.1523,                0.72028,                0.67828,                0.70621,                0.34343,                 1.7867,                 1.0706,                 1.3375,             0.00048732,             0.00048732,             0.00048732
                     39,                 1.5194,                0.81795,                 1.1558,                0.69415,                0.67562,                0.70832,                0.32815,                 1.8364,                 1.1761,                 1.3705,              0.0004797,              0.0004797,              0.0004797
                     40,                  1.507,                0.80256,                 1.1519,                0.71746,                 0.7432,                0.73255,                0.33563,                 1.8598,                0.97008,                  1.385,             0.00047209,             0.00047209,             0.00047209
                     41,                 1.5038,                0.80462,                 1.1435,                0.70423,                0.66246,                 0.7003,                0.32627,                 1.8184,                 1.0549,                 1.3489,             0.00046448,             0.00046448,             0.00046448
                     42,                 1.5227,                0.80195,                 1.1539,                0.70083,                0.71202,                0.71996,                0.33963,                 1.8462,                 1.0935,                 1.3694,             0.00045686,             0.00045686,             0.00045686
                     43,                 1.4982,                0.79717,                 1.1542,                0.68158,                0.68566,                0.69266,                 0.3331,                 1.8196,                 1.1254,                 1.3531,             0.00044925,             0.00044925,             0.00044925
                     44,                 1.4859,                0.79443,                 1.1533,                0.71836,                0.72049,                0.71775,                0.33517,                 1.8087,                  1.094,                 1.3543,             0.00044164,             0.00044164,             0.00044164
                     45,                 1.4838,                0.78535,                  1.146,                0.73013,                0.69107,                0.71238,                0.33241,                 1.8398,                 1.0652,                 1.3702,             0.00043402,             0.00043402,             0.00043402
                     46,                 1.4651,                0.77134,                 1.1409,                0.72322,                0.68011,                0.71627,                0.34309,                 1.8414,                 1.2352,                 1.3725,             0.00042641,             0.00042641,             0.00042641
                     47,                 1.4913,                0.77284,                 1.1343,                0.73349,                 0.7233,                0.73859,                0.34191,                 1.8453,                 1.1261,                 1.3763,              0.0004188,              0.0004188,              0.0004188
                     48,                 1.4603,                0.75796,                 1.1294,                0.73595,                0.71353,                0.73007,                0.34552,                 1.8546,                0.97638,                 1.3873,             0.00041118,             0.00041118,             0.00041118
                     49,                 1.4969,                0.76679,                 1.1383,                0.72931,                0.72628,                0.74675,                0.34785,                 1.8322,                0.98033,                 1.3719,             0.00040357,             0.00040357,             0.00040357
                     50,                 1.4591,                0.76051,                 1.1322,                0.69834,                0.68627,                0.71958,                0.34014,                 1.8678,                 1.1029,                 1.3924,             0.00039596,             0.00039596,             0.00039596
                     51,                 1.4507,                0.74729,                 1.1202,                 0.7209,                0.72604,                0.74805,                0.34897,                 1.8385,                0.99803,                 1.3762,             0.00038835,             0.00038835,             0.00038835
                     52,                  1.441,                0.74303,                  1.131,                0.71082,                0.70832,                0.72946,                0.34215,                 1.8578,                 1.0336,                 1.3881,             0.00038073,             0.00038073,             0.00038073
                     53,                 1.4756,                0.74433,                 1.1271,                0.68713,                0.69931,                0.71146,                0.34086,                 1.8722,                 1.2548,                  1.393,             0.00037312,             0.00037312,             0.00037312
                     54,                 1.4387,                0.72455,                 1.1208,                 0.6969,                0.69202,                0.70673,                0.32439,                 1.9122,                 1.0194,                 1.4228,             0.00036551,             0.00036551,             0.00036551
