                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.9678,                 3.1129,                 1.3639,                0.56674,                0.14588,                0.30228,                0.13926,                 1.9554,                 2.8298,                 1.3615,             0.00025342,             0.00025342,             0.00025342
                      2,                 1.8619,                 1.7189,                 1.2776,                0.38461,                0.54677,                0.42372,                0.19617,                 1.9342,                 1.9211,                 1.3419,             0.00049966,             0.00049966,             0.00049966
                      3,                 1.8093,                 1.5613,                 1.2914,                0.56618,                0.60716,                0.56159,                0.26631,                 1.8818,                 1.4695,                 1.3058,             0.00073575,             0.00073575,             0.00073575
                      4,                 1.7742,                 1.4151,                 1.2589,                0.58252,                0.62379,                0.61098,                0.27495,                 1.8774,                 1.3758,                 1.3368,             0.00072332,             0.00072332,             0.00072332
                      5,                 1.7627,                 1.3568,                 1.2544,                0.58339,                0.64064,                0.60938,                0.28013,                 1.8242,                 1.3653,                 1.3024,              0.0007081,              0.0007081,              0.0007081
                      6,                 1.7463,                  1.269,                  1.241,                0.62802,                0.63463,                0.64007,                0.28813,                 1.8501,                 1.3226,                 1.3427,             0.00069287,             0.00069287,             0.00069287
                      7,                 1.7303,                  1.216,                 1.2413,                0.56224,                0.64627,                0.63909,                0.30664,                 1.8044,                 1.3377,                 1.3221,             0.00067764,             0.00067764,             0.00067764
                      8,                 1.7167,                 1.2186,                 1.2301,                0.66049,                0.70035,                0.67765,                0.31459,                 1.7735,                 1.2412,                  1.289,             0.00066242,             0.00066242,             0.00066242
                      9,                 1.6735,                 1.1948,                 1.2209,                 0.6898,                0.64067,                0.65369,                 0.3117,                 1.7787,                 1.4595,                 1.3171,             0.00064719,             0.00064719,             0.00064719
                     10,                 1.6804,                 1.1585,                 1.2262,                0.59828,                0.64295,                0.60933,                0.27104,                  1.836,                  1.475,                 1.3409,             0.00063196,             0.00063196,             0.00063196
                     11,                  1.689,                 1.1037,                 1.2162,                0.66038,                0.66197,                0.68421,                0.31961,                 1.8156,                 1.3414,                 1.3297,             0.00061674,             0.00061674,             0.00061674
                     12,                 1.6666,                 1.0669,                 1.2146,                0.68079,                0.67789,                0.66643,                0.31379,                 1.8182,                 1.2175,                 1.3146,             0.00060151,             0.00060151,             0.00060151
                     13,                 1.6712,                 1.0805,                 1.2195,                0.75379,                0.66493,                0.71535,                0.34552,                 1.7739,                 1.1003,                 1.3124,             0.00058629,             0.00058629,             0.00058629
                     14,                 1.6503,                 1.0337,                 1.2044,                0.69098,                0.70195,                0.71469,                 0.3394,                 1.7679,                 1.1509,                 1.3121,             0.00057106,             0.00057106,             0.00057106
                     15,                 1.6522,                 1.0339,                 1.2069,                0.70524,                0.71032,                0.70119,                0.32962,                 1.8339,                 1.2366,                 1.3526,             0.00055583,             0.00055583,             0.00055583
                     16,                 1.6539,                 1.0291,                 1.2046,                0.67851,                0.72925,                0.72487,                0.35024,                 1.7927,                 1.1219,                 1.3183,             0.00054061,             0.00054061,             0.00054061
                     17,                 1.6408,                  1.024,                 1.2066,                0.69443,                 0.7014,                 0.7082,                0.33148,                 1.7795,                  1.133,                 1.3075,             0.00052538,             0.00052538,             0.00052538
                     18,                 1.6382,                0.98247,                 1.1911,                0.65151,                0.74468,                0.70281,                0.33485,                 1.7875,                 1.1355,                 1.3221,             0.00051015,             0.00051015,             0.00051015
                     19,                 1.6134,                0.95528,                   1.19,                0.77667,                0.69907,                0.75219,                0.35513,                 1.8025,                0.99681,                 1.3247,             0.00049493,             0.00049493,             0.00049493
                     20,                 1.6078,                 0.9468,                 1.1911,                 0.7059,                0.72152,                0.71546,                0.34443,                 1.7619,                 1.1041,                 1.3199,              0.0004797,              0.0004797,              0.0004797
                     21,                 1.5939,                0.94112,                 1.1889,                0.67658,                 0.7399,                0.72007,                0.33565,                 1.7855,                 1.0465,                 1.3217,             0.00046448,             0.00046448,             0.00046448
                     22,                 1.6065,                0.95221,                 1.1903,                0.68419,                 0.7367,                0.72617,                0.34425,                 1.8055,                  1.104,                 1.3279,             0.00044925,             0.00044925,             0.00044925
                     23,                 1.5849,                0.90909,                 1.1798,                0.70909,                0.69877,                0.71872,                0.33749,                 1.8633,                 1.1206,                 1.3721,             0.00043402,             0.00043402,             0.00043402
                     24,                 1.5783,                0.92497,                 1.1875,                0.69286,                0.73004,                 0.7315,                 0.3563,                 1.7553,                 1.0337,                 1.3094,              0.0004188,              0.0004188,              0.0004188
                     25,                 1.5722,                0.90597,                 1.1739,                0.69076,                0.73109,                0.72281,                 0.3345,                 1.8713,                 1.0916,                  1.368,             0.00040357,             0.00040357,             0.00040357
                     26,                 1.5725,                 0.8927,                 1.1744,                0.74513,                0.73071,                0.73928,                0.34903,                 1.7723,                 1.0677,                 1.3245,             0.00038835,             0.00038835,             0.00038835
