                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.4123,                 4.1508,                 1.1955,                0.01692,                0.05674,                0.03482,                0.01485,                 2.2307,                 3.6571,                 1.0238,             0.00025051,             0.00025051,             0.00025051
                      2,                 2.3454,                 2.7074,                 1.0397,                0.66877,                0.10076,                0.18332,                0.07843,                 2.2868,                 2.9086,                 1.0289,             0.00049681,             0.00049681,             0.00049681
                      3,                 2.3039,                 1.9192,                 1.0191,                0.51244,                0.24522,                0.26366,                0.11442,                  2.172,                 1.9788,                 1.0114,             0.00073295,             0.00073295,             0.00073295
                      4,                 2.2025,                  1.479,                 1.0019,                0.51467,                0.34598,                0.36756,                0.15752,                 2.1136,                 1.6195,                0.99785,             0.00072332,             0.00072332,             0.00072332
                      5,                 2.1324,                 1.2895,                0.99599,                0.54279,                0.44636,                0.41941,                0.18776,                 2.0147,                 1.2596,                0.99851,              0.0007081,              0.0007081,              0.0007081
                      6,                 2.0421,                 1.2471,                0.98643,                0.47391,                0.41982,                0.36503,                0.15313,                 2.2698,                 1.7615,                 1.0063,             0.00069287,             0.00069287,             0.00069287
                      7,                 2.0353,                 1.1567,                0.97586,                0.43578,                0.51757,                0.47282,                0.21708,                  1.916,                 1.3446,                0.97564,             0.00067764,             0.00067764,             0.00067764
                      8,                 1.9527,                 1.1302,                0.97787,                0.54391,                0.47464,                0.46101,                0.20961,                 1.9808,                 1.2075,                0.98261,             0.00066242,             0.00066242,             0.00066242
                      9,                 1.9328,                 1.1037,                0.97503,                0.55351,                0.45021,                0.41646,                0.18958,                 1.9594,                 1.5154,                0.97336,             0.00064719,             0.00064719,             0.00064719
                     10,                 1.9433,                 1.0833,                0.97156,                0.52879,                0.51248,                0.46944,                0.20985,                 1.9242,                 1.1725,                0.97274,             0.00063196,             0.00063196,             0.00063196
                     11,                 1.8954,                 1.0577,                0.96419,                0.55237,                0.54242,                0.50242,                0.22659,                 1.9338,                 1.1956,                0.97819,             0.00061674,             0.00061674,             0.00061674
                     12,                 1.9142,                 1.0569,                 0.9649,                0.53637,                0.59726,                0.53031,                0.24207,                 1.9113,                 1.1783,                0.97784,             0.00060151,             0.00060151,             0.00060151
                     13,                 1.9042,                 1.0222,                0.96209,                0.54382,                0.52761,                0.52295,                0.23673,                 1.8997,                 1.1337,                0.97174,             0.00058629,             0.00058629,             0.00058629
                     14,                 1.8799,                0.99633,                0.95466,                0.53529,                0.58631,                0.57212,                0.26702,                 1.8507,                 1.0412,                0.96375,             0.00057106,             0.00057106,             0.00057106
                     15,                 1.8401,                0.98108,                0.95422,                0.56067,                0.55647,                0.52688,                0.23712,                 1.8489,                 1.1138,                0.96106,             0.00055583,             0.00055583,             0.00055583
                     16,                 1.8318,                0.98615,                0.95343,                0.58267,                0.55943,                0.53811,                0.24323,                 1.8861,                 1.0818,                0.96454,             0.00054061,             0.00054061,             0.00054061
                     17,                 1.8176,                0.96519,                0.95325,                0.58446,                0.60781,                0.59034,                0.26648,                  1.819,                0.99956,                0.95685,             0.00052538,             0.00052538,             0.00052538
                     18,                 1.8453,                0.96427,                0.95148,                0.62622,                0.53064,                0.54502,                0.24689,                 1.8485,                 1.0319,                 0.9691,             0.00051015,             0.00051015,             0.00051015
                     19,                 1.8124,                0.95078,                0.94966,                0.60071,                0.57416,                0.57236,                0.26208,                  1.862,                0.88648,                0.96327,             0.00049493,             0.00049493,             0.00049493
                     20,                 1.8264,                 0.9629,                0.94558,                0.57175,                0.62256,                 0.5452,                0.24757,                 1.9009,                  1.047,                0.96604,              0.0004797,              0.0004797,              0.0004797
                     21,                 1.7835,                0.93887,                0.94583,                0.58579,                0.57572,                0.57421,                0.27103,                 1.8395,                0.90933,                0.96635,             0.00046448,             0.00046448,             0.00046448
                     22,                 1.8021,                0.94484,                0.94986,                0.61676,                0.59744,                0.58906,                0.27204,                  1.915,                0.99428,                0.96787,             0.00044925,             0.00044925,             0.00044925
                     23,                 1.7801,                0.91311,                0.93944,                0.55014,                0.56609,                0.55676,                0.25794,                 1.7971,                   1.18,                0.95576,             0.00043402,             0.00043402,             0.00043402
                     24,                 1.7501,                0.91293,                  0.943,                0.54742,                0.57341,                0.54512,                0.23559,                 1.8481,                 1.0628,                0.95825,              0.0004188,              0.0004188,              0.0004188
                     25,                 1.7696,                0.91248,                0.94585,                 0.5683,                0.56905,                0.54382,                0.24405,                 1.9635,                0.99131,                0.97888,             0.00040357,             0.00040357,             0.00040357
                     26,                 1.7874,                0.91917,                0.94045,                0.62799,                0.61537,                0.59279,                0.27009,                 1.8242,                0.99499,                0.95819,             0.00038835,             0.00038835,             0.00038835
                     27,                 1.7604,                0.91168,                0.93626,                0.60472,                0.57816,                0.56506,                0.25863,                 1.8972,                0.94082,                0.96784,             0.00037312,             0.00037312,             0.00037312
                     28,                 1.7737,                 0.9012,                0.94235,                0.61011,                0.60093,                 0.5897,                0.27344,                 1.8232,                0.91973,                0.95811,             0.00035789,             0.00035789,             0.00035789
                     29,                 1.7473,                 0.8736,                 0.9385,                0.63203,                0.57451,                0.58696,                0.27141,                 1.7933,                0.88855,                0.95426,             0.00034267,             0.00034267,             0.00034267
                     30,                 1.7576,                0.89002,                0.93255,                0.68193,                0.60467,                 0.6427,                0.29115,                 1.7632,                0.83668,                0.94873,             0.00032744,             0.00032744,             0.00032744
                     31,                  1.748,                0.88464,                0.93655,                 0.7012,                0.57148,                 0.6259,                0.29649,                 1.7997,                0.83514,                0.95246,             0.00031221,             0.00031221,             0.00031221
