                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.9688,                 3.3496,                 1.3711,                0.03667,                0.64928,                0.20385,                0.09382,                 1.9102,                 3.5111,                 1.3449,             0.00025051,             0.00025051,             0.00025051
                      2,                  1.864,                 1.7641,                 1.2673,                0.44189,                0.40117,                0.40035,                0.18173,                 1.9445,                 2.3722,                 1.3625,             0.00050182,             0.00050182,             0.00050182
                      3,                 1.8084,                 1.4737,                 1.2533,                0.47591,                0.55758,                0.53076,                0.25131,                 1.9329,                 1.7418,                 1.3248,             0.00074806,             0.00074806,             0.00074806
                      4,                 1.8211,                 1.3228,                 1.2461,                  0.583,                0.56915,                0.56345,                0.25135,                 1.9715,                 1.5463,                 1.3866,             0.00074616,             0.00074616,             0.00074616
                      5,                 1.7795,                 1.3036,                 1.2396,                0.58238,                0.63243,                0.63927,                0.29331,                 1.8951,                 1.4657,                 1.3496,             0.00073855,             0.00073855,             0.00073855
                      6,                 1.7352,                 1.2605,                 1.2316,                0.44943,                0.55924,                   0.51,                0.23534,                  1.914,                 1.7636,                 1.3752,             0.00073093,             0.00073093,             0.00073093
                      7,                 1.7391,                 1.1704,                 1.2188,                0.64202,                0.70187,                0.69857,                0.33795,                 1.8474,                 1.3531,                 1.3235,             0.00072332,             0.00072332,             0.00072332
                      8,                 1.7057,                 1.1752,                 1.2144,                0.67619,                0.67129,                 0.6727,                0.31849,                 1.8451,                  1.234,                 1.2857,             0.00071571,             0.00071571,             0.00071571
                      9,                 1.6961,                 1.1698,                 1.2194,                 0.6129,                0.66229,                0.66753,                 0.3151,                 1.8493,                 1.4468,                 1.3352,              0.0007081,              0.0007081,              0.0007081
                     10,                 1.6975,                 1.1357,                 1.2195,                0.71288,                0.61825,                0.68104,                0.32733,                  1.837,                 1.4964,                  1.307,             0.00070048,             0.00070048,             0.00070048
                     11,                 1.6765,                 1.0926,                  1.212,                0.61343,                0.71423,                 0.6799,                0.32626,                 1.7946,                 1.4068,                 1.2953,             0.00069287,             0.00069287,             0.00069287
                     12,                 1.6545,                    1.1,                 1.2106,                0.64432,                0.69497,                0.70926,                0.34326,                 1.7925,                 1.2098,                 1.3038,             0.00068526,             0.00068526,             0.00068526
                     13,                 1.6772,                 1.0711,                 1.2145,                0.65616,                0.62122,                0.65302,                0.30919,                 1.7887,                 1.4168,                 1.3368,             0.00067764,             0.00067764,             0.00067764
                     14,                 1.6797,                 1.0159,                 1.1992,                0.60928,                0.64387,                0.64322,                0.31752,                 1.8133,                 1.4622,                 1.3313,             0.00067003,             0.00067003,             0.00067003
                     15,                 1.6522,                 1.0046,                    1.2,                0.62401,                0.69664,                0.68025,                0.31995,                  1.839,                 1.2344,                 1.3281,             0.00066242,             0.00066242,             0.00066242
                     16,                 1.6351,                0.99884,                 1.2043,                0.72981,                0.66505,                0.70929,                0.34317,                 1.7935,                 1.1771,                 1.2944,              0.0006548,              0.0006548,              0.0006548
                     17,                 1.6268,                  0.991,                 1.1977,                0.69391,                0.73596,                0.74053,                0.34904,                 1.7921,                  1.113,                 1.2945,             0.00064719,             0.00064719,             0.00064719
                     18,                 1.6458,                0.96197,                 1.1862,                0.65802,                0.65537,                0.65541,                0.30803,                 1.8284,                 1.5487,                 1.3453,             0.00063958,             0.00063958,             0.00063958
                     19,                 1.6132,                0.94583,                 1.1846,                0.67118,                0.68082,                0.68541,                0.32592,                 1.8226,                  1.229,                 1.3499,             0.00063196,             0.00063196,             0.00063196
                     20,                 1.6251,                 0.9498,                 1.1861,                 0.6749,                0.66987,                0.68278,                0.32401,                 1.8066,                 1.3593,                  1.308,             0.00062435,             0.00062435,             0.00062435
                     21,                 1.5956,                0.92432,                 1.1834,                0.73206,                0.70265,                 0.7327,                0.34864,                 1.7933,                 1.1853,                 1.3005,             0.00061674,             0.00061674,             0.00061674
                     22,                 1.6209,                0.92756,                 1.1953,                0.67383,                0.70206,                0.70396,                0.33603,                 1.8238,                 1.1877,                 1.3396,             0.00060912,             0.00060912,             0.00060912
                     23,                 1.5918,                0.90251,                 1.1769,                0.63071,                0.71093,                0.70621,                0.33224,                 1.8473,                 1.1632,                 1.3496,             0.00060151,             0.00060151,             0.00060151
                     24,                 1.5915,                0.90435,                 1.1846,                0.70193,                0.71191,                0.70846,                 0.3346,                 1.8001,                 1.1294,                 1.3108,              0.0005939,              0.0005939,              0.0005939
                     25,                 1.5857,                0.89254,                 1.1735,                0.61375,                0.70202,                0.67686,                0.31106,                 1.8556,                 1.3362,                 1.3398,             0.00058629,             0.00058629,             0.00058629
                     26,                 1.5997,                0.89379,                 1.1755,                0.67457,                0.66485,                0.66089,                0.32241,                 1.8462,                 1.5718,                 1.3729,             0.00057867,             0.00057867,             0.00057867
                     27,                 1.5705,                0.87928,                 1.1749,                0.70215,                0.68993,                0.71377,                0.33334,                 1.7714,                 1.0764,                 1.3144,             0.00057106,             0.00057106,             0.00057106
                     28,                 1.5868,                 0.8662,                 1.1707,                0.72962,                0.68913,                0.73151,                0.33924,                 1.8178,                 1.0045,                 1.3319,             0.00056345,             0.00056345,             0.00056345
                     29,                 1.5553,                0.85114,                 1.1737,                0.72697,                0.68069,                0.71679,                0.33387,                 1.7838,                 1.0504,                 1.3193,             0.00055583,             0.00055583,             0.00055583
                     30,                 1.5642,                 0.8542,                 1.1661,                0.71094,                0.72461,                0.70931,                0.33769,                 1.8066,                 1.0458,                 1.3223,             0.00054822,             0.00054822,             0.00054822
                     31,                 1.5655,                0.84728,                 1.1641,                0.71819,                0.69348,                0.72276,                0.34753,                 1.7978,                 1.1631,                 1.3311,             0.00054061,             0.00054061,             0.00054061
                     32,                 1.5594,                0.82682,                 1.1621,                0.73776,                0.70612,                0.72938,                0.33525,                 1.8081,                 1.0246,                 1.3291,             0.00053299,             0.00053299,             0.00053299
                     33,                 1.5168,                0.80896,                 1.1519,                0.69653,                0.72026,                0.72222,                 0.3422,                 1.8481,                 1.1187,                 1.3456,             0.00052538,             0.00052538,             0.00052538
                     34,                 1.5221,                  0.811,                 1.1468,                0.75562,                0.68244,                0.71333,                0.33609,                 1.7922,                 1.1186,                 1.3312,             0.00051777,             0.00051777,             0.00051777
                     35,                 1.5217,                0.81043,                 1.1502,                  0.697,                0.73253,                0.72024,                0.33212,                 1.8385,                 1.1484,                 1.3609,             0.00051015,             0.00051015,             0.00051015
                     36,                 1.5243,                0.80475,                 1.1408,                 0.6689,                0.70133,                0.67735,                0.30637,                 1.8611,                 1.3561,                 1.3648,             0.00050254,             0.00050254,             0.00050254
                     37,                 1.5208,                0.79661,                 1.1399,                 0.7536,                0.68803,                0.73447,                0.33514,                 1.9093,                 1.1239,                 1.4023,             0.00049493,             0.00049493,             0.00049493
                     38,                 1.4988,                0.78435,                 1.1426,                0.77935,                0.64611,                0.72436,                0.33531,                 1.8738,                 1.0001,                 1.3974,             0.00048732,             0.00048732,             0.00048732
                     39,                  1.487,                0.77737,                 1.1416,                0.69305,                0.73261,                 0.7241,                0.32036,                 1.8559,                 1.1716,                 1.3713,              0.0004797,              0.0004797,              0.0004797
                     40,                 1.4688,                0.76785,                 1.1444,                0.76617,                0.70448,                0.73613,                0.34086,                 1.8027,                0.95711,                 1.3327,             0.00047209,             0.00047209,             0.00047209
                     41,                 1.4899,                0.77288,                 1.1324,                0.70857,                0.66967,                0.68935,                 0.3294,                 1.8466,                 1.2621,                 1.3595,             0.00046448,             0.00046448,             0.00046448
                     42,                 1.4656,                0.75446,                 1.1264,                0.72146,                0.67078,                0.68186,                  0.315,                 1.8597,                 1.3051,                 1.3618,             0.00045686,             0.00045686,             0.00045686
                     43,                 1.4668,                0.75913,                  1.128,                0.71292,                0.69803,                0.68372,                  0.312,                 1.8501,                 1.2185,                 1.3768,             0.00044925,             0.00044925,             0.00044925
                     44,                 1.4652,                0.75637,                 1.1358,                0.71418,                0.71973,                0.70202,                0.32684,                 1.8612,                 1.2503,                 1.3734,             0.00044164,             0.00044164,             0.00044164
                     45,                 1.4449,                0.75424,                 1.1263,                0.70989,                0.72056,                0.71605,                0.32818,                 1.8949,                 1.1295,                 1.3852,             0.00043402,             0.00043402,             0.00043402
                     46,                 1.4498,                0.74013,                  1.125,                0.68713,                0.72785,                0.71545,                0.33033,                 1.9073,                 1.1316,                 1.4255,             0.00042641,             0.00042641,             0.00042641
                     47,                 1.4531,                0.73642,                 1.1234,                0.72726,                0.70782,                0.72726,                0.34065,                 1.8828,                 1.1041,                 1.3947,              0.0004188,              0.0004188,              0.0004188
                     48,                 1.4459,                0.72674,                 1.1225,                0.71633,                0.73517,                0.74306,                0.33367,                 1.9075,                 1.0123,                 1.4146,             0.00041118,             0.00041118,             0.00041118
                     49,                  1.425,                 0.7118,                 1.1132,                0.73778,                0.74049,                0.74907,                0.34399,                 1.8581,                0.91443,                 1.3895,             0.00040357,             0.00040357,             0.00040357
                     50,                 1.4297,                0.72341,                 1.1114,                 0.7278,                0.67181,                0.68998,                0.32183,                 1.8766,                 1.2431,                 1.3939,             0.00039596,             0.00039596,             0.00039596
                     51,                 1.4454,                0.71443,                 1.1073,                0.77532,                0.70449,                0.72397,                0.32634,                 1.9015,                  1.004,                 1.4103,             0.00038835,             0.00038835,             0.00038835
                     52,                 1.4237,                0.71906,                  1.115,                0.71629,                 0.7138,                0.71286,                0.32293,                 1.8814,                 1.0749,                 1.3895,             0.00038073,             0.00038073,             0.00038073
                     53,                 1.4092,                0.70515,                 1.1051,                0.69639,                0.71518,                0.71065,                0.33049,                 1.8796,                 1.0325,                 1.3818,             0.00037312,             0.00037312,             0.00037312
                     54,                 1.4163,                0.70313,                 1.1071,                0.73222,                0.70288,                0.72735,                0.33602,                 1.9019,                 1.0637,                 1.4142,             0.00036551,             0.00036551,             0.00036551
                     55,                 1.3813,                0.69733,                 1.1076,                0.70829,                0.70958,                0.70771,                0.32472,                 1.8739,                 1.2373,                  1.382,             0.00035789,             0.00035789,             0.00035789
                     56,                 1.3992,                0.69651,                 1.1023,                0.70661,                 0.7114,                 0.7095,                0.32868,                 1.9004,                 1.2207,                 1.4084,             0.00035028,             0.00035028,             0.00035028
                     57,                  1.401,                0.69631,                  1.101,                0.69866,                0.72905,                0.73597,                0.34084,                 1.8735,                 1.0243,                 1.3964,             0.00034267,             0.00034267,             0.00034267
                     58,                 1.4146,                0.68728,                 1.0967,                 0.7033,                0.70095,                0.69915,                0.32534,                 1.9225,                 1.3693,                 1.4618,             0.00033505,             0.00033505,             0.00033505
                     59,                 1.3629,                0.67975,                 1.0977,                0.69046,                0.72412,                0.70045,                0.32727,                 1.9397,                 1.1481,                 1.4589,             0.00032744,             0.00032744,             0.00032744
                     60,                 1.3858,                0.68343,                 1.0975,                0.70442,                0.71417,                0.70449,                0.32108,                 1.8844,                 1.1685,                 1.4328,             0.00031983,             0.00031983,             0.00031983
                     61,                 1.3594,                0.66925,                 1.0803,                0.72711,                0.70476,                0.72098,                 0.3337,                 1.9049,                 1.0933,                 1.4383,             0.00031221,             0.00031221,             0.00031221
                     62,                  1.367,                0.66804,                 1.0885,                0.66331,                0.73968,                0.69886,                0.32013,                 1.8884,                 1.2094,                 1.4092,              0.0003046,              0.0003046,              0.0003046
                     63,                 1.3525,                0.65974,                 1.0908,                0.70499,                0.71252,                0.73547,                0.34375,                 1.9151,                 1.1229,                 1.4337,             0.00029699,             0.00029699,             0.00029699
                     64,                 1.3413,                0.65707,                 1.0867,                0.74637,                0.69658,                0.73167,                0.32944,                 1.9307,                 1.1325,                 1.4373,             0.00028937,             0.00028937,             0.00028937
                     65,                 1.3422,                0.66128,                  1.081,                0.74802,                0.68455,                 0.7242,                0.32728,                 1.9568,                 1.1586,                 1.4757,             0.00028176,             0.00028176,             0.00028176
                     66,                 1.3601,                0.65738,                 1.0787,                0.72155,                0.71458,                0.72433,                 0.3346,                  1.908,                 1.3164,                 1.4216,             0.00027415,             0.00027415,             0.00027415
                     67,                 1.3346,                0.65302,                 1.0779,                0.66842,                0.71364,                0.68635,                0.31426,                 1.8934,                 1.2236,                 1.4154,             0.00026654,             0.00026654,             0.00026654
                     68,                 1.3536,                0.65408,                 1.0765,                 0.7459,                0.70784,                0.72018,                0.32681,                  1.886,                 1.0466,                 1.4236,             0.00025892,             0.00025892,             0.00025892
                     69,                 1.3169,                0.64824,                 1.0735,                0.73882,                0.71745,                0.73155,                0.33133,                 1.8873,                0.91915,                 1.4287,             0.00025131,             0.00025131,             0.00025131
                     70,                 1.3428,                0.64858,                 1.0687,                0.69787,                0.70508,                0.71423,                0.32774,                 1.9207,                 1.1238,                 1.4521,              0.0002437,              0.0002437,              0.0002437
                     71,                 1.3263,                0.64055,                 1.0713,                0.68466,                0.68886,                0.69419,                0.32246,                 1.9164,                 1.2285,                 1.4317,             0.00023608,             0.00023608,             0.00023608
                     72,                 1.3451,                 0.6473,                 1.0707,                 0.7342,                 0.7071,                0.71975,                0.33578,                 1.8808,                0.93428,                 1.4089,             0.00022847,             0.00022847,             0.00022847
                     73,                 1.2816,                 0.6318,                 1.0703,                0.69341,                0.72736,                0.71477,                0.33335,                  1.935,                  1.192,                 1.4623,             0.00022086,             0.00022086,             0.00022086
                     74,                 1.3113,                0.63987,                 1.0666,                0.67989,                0.71824,                0.70258,                0.32453,                 1.9366,                  1.287,                 1.4762,             0.00021324,             0.00021324,             0.00021324
                     75,                 1.2975,                0.63054,                 1.0689,                0.69213,                0.69727,                0.70039,                0.32488,                 1.9333,                 1.1889,                  1.447,             0.00020563,             0.00020563,             0.00020563
                     76,                 1.2643,                 0.6212,                 1.0599,                0.70253,                0.71984,                0.72821,                0.33199,                 1.9343,                 1.0872,                 1.4649,             0.00019802,             0.00019802,             0.00019802
                     77,                 1.2755,                0.61754,                 1.0581,                0.70277,                0.70724,                0.71085,                0.32326,                 1.9048,                 1.2059,                 1.4445,              0.0001904,              0.0001904,              0.0001904
                     78,                 1.2895,                0.62501,                 1.0558,                0.71569,                0.71671,                0.72304,                0.32745,                 1.9532,                  1.057,                   1.49,             0.00018279,             0.00018279,             0.00018279
                     79,                 1.2931,                0.62131,                 1.0618,                0.72642,                0.72341,                0.72153,                0.33744,                 1.9193,                 1.0503,                 1.4656,             0.00017518,             0.00017518,             0.00017518
                     80,                 1.2665,                0.61997,                 1.0564,                0.73383,                0.68263,                0.71687,                0.32926,                  1.937,                 1.2772,                 1.4678,             0.00016757,             0.00016757,             0.00016757
                     81,                 1.2488,                0.60769,                 1.0437,                0.68846,                0.69409,                0.68336,                 0.3138,                 1.9531,                 1.3902,                 1.4745,             0.00015995,             0.00015995,             0.00015995
                     82,                 1.2816,                0.62217,                 1.0526,                0.73617,                0.71403,                0.72462,                0.32885,                 1.9287,                 1.1753,                 1.4773,             0.00015234,             0.00015234,             0.00015234
                     83,                  1.264,                0.61438,                 1.0502,                0.70938,                0.72659,                0.72308,                0.32807,                 1.9328,                  1.028,                 1.4655,             0.00014473,             0.00014473,             0.00014473
                     84,                 1.2523,                0.60511,                  1.042,                0.74264,                0.68596,                0.71968,                0.33057,                  1.965,                 1.1108,                 1.5068,             0.00013711,             0.00013711,             0.00013711
                     85,                 1.2691,                0.61076,                 1.0489,                0.73468,                0.69021,                0.71041,                0.32455,                 1.9554,                 1.1873,                 1.5031,              0.0001295,              0.0001295,              0.0001295
                     86,                 1.2714,                0.61089,                 1.0496,                0.71671,                0.71711,                 0.7218,                 0.3281,                 1.9542,                 1.1665,                 1.5062,             0.00012189,             0.00012189,             0.00012189
                     87,                 1.2426,                0.60025,                 1.0409,                0.70413,                0.72266,                0.69882,                0.31995,                 1.9543,                 1.2031,                 1.4868,             0.00011427,             0.00011427,             0.00011427
                     88,                 1.2513,                0.60328,                 1.0489,                 0.7032,                0.71964,                0.70974,                0.32802,                 1.9506,                 1.1236,                  1.486,             0.00010666,             0.00010666,             0.00010666
                     89,                  1.241,                0.59923,                 1.0456,                0.69351,                0.74133,                0.71614,                 0.3308,                 1.9743,                 1.0797,                  1.512,             9.9047e-05,             9.9047e-05,             9.9047e-05
                     90,                  1.241,                0.60009,                 1.0424,                0.70925,                0.69963,                0.69976,                0.32203,                 1.9762,                 1.3116,                  1.519,             9.1434e-05,             9.1434e-05,             9.1434e-05
                     91,                 1.2374,                0.58383,                 1.0483,                0.75077,                0.71648,                0.72379,                0.32915,                 1.9572,                 1.0951,                 1.5066,             8.3821e-05,             8.3821e-05,             8.3821e-05
                     92,                 1.2061,                0.56485,                 1.0445,                0.69696,                0.71858,                0.70984,                0.32153,                 1.9528,                 1.1376,                 1.5045,             7.6208e-05,             7.6208e-05,             7.6208e-05
                     93,                 1.1915,                 0.5532,                 1.0428,                0.68188,                0.73029,                0.71901,                0.32712,                  1.985,                 1.1047,                 1.5262,             6.8595e-05,             6.8595e-05,             6.8595e-05
                     94,                   1.19,                0.55465,                 1.0341,                0.69908,                0.73811,                0.71444,                0.32601,                 1.9685,                 1.1369,                 1.5152,             6.0982e-05,             6.0982e-05,             6.0982e-05
                     95,                 1.1809,                0.55177,                 1.0375,                0.70414,                0.74553,                0.72457,                0.32888,                 1.9793,                 1.1699,                 1.5325,             5.3369e-05,             5.3369e-05,             5.3369e-05
                     96,                 1.1816,                0.55294,                 1.0319,                0.70268,                 0.7436,                 0.7196,                0.32947,                 1.9736,                 1.1622,                 1.5286,             4.5756e-05,             4.5756e-05,             4.5756e-05
                     97,                 1.1755,                0.54927,                 1.0318,                0.72302,                0.72123,                0.72878,                0.33322,                 1.9649,                 1.1366,                 1.5199,             3.8142e-05,             3.8142e-05,             3.8142e-05
