                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.9073,                 2.8469,                 1.3305,                0.50417,                0.37349,                0.38784,                0.17302,                  1.984,                 2.6387,                 1.3885,             0.00025339,             0.00025339,             0.00025339
                      2,                 1.7808,                 1.4338,                 1.2481,                0.57242,                0.56518,                0.57318,                0.27157,                  1.803,                 1.3944,                 1.2736,             0.00049963,             0.00049963,             0.00049963
                      3,                 1.7506,                 1.2583,                 1.2353,                0.60712,                0.60995,                0.58956,                0.27765,                 1.8596,                 1.5864,                 1.2817,             0.00073572,             0.00073572,             0.00073572
                      4,                 1.7266,                  1.185,                 1.2227,                0.64028,                0.56283,                0.59077,                0.27598,                 1.9408,                 1.9452,                 1.3797,             0.00072332,             0.00072332,             0.00072332
                      5,                 1.6839,                 1.1464,                 1.2098,                  0.654,                 0.6126,                0.63574,                0.30492,                 1.8365,                 1.3846,                 1.3275,              0.0007081,              0.0007081,              0.0007081
                      6,                 1.6731,                 1.0807,                 1.2125,                0.54576,                0.68314,                0.64263,                0.29363,                  1.825,                 1.4606,                 1.3152,             0.00069287,             0.00069287,             0.00069287
                      7,                  1.648,                 1.0506,                 1.2113,                0.70791,                0.68982,                0.70673,                0.33479,                 1.8265,                 1.0986,                 1.3269,             0.00067764,             0.00067764,             0.00067764
                      8,                 1.6489,                 1.0129,                 1.1954,                0.65479,                0.65608,                0.65476,                0.28683,                 1.8949,                 1.3565,                 1.3553,             0.00066242,             0.00066242,             0.00066242
                      9,                 1.6157,                0.97085,                 1.1913,                0.64766,                0.73759,                0.68738,                0.32445,                 1.7918,                 1.2503,                 1.3257,             0.00064719,             0.00064719,             0.00064719
                     10,                 1.6149,                0.96239,                 1.1934,                0.74796,                0.64507,                 0.7061,                0.33287,                  1.811,                 1.1025,                 1.3329,             0.00063196,             0.00063196,             0.00063196
                     11,                 1.6114,                0.93634,                 1.1884,                0.67647,                 0.6924,                0.68361,                0.31619,                 1.8702,                 1.4086,                 1.3438,             0.00061674,             0.00061674,             0.00061674
                     12,                 1.5765,                0.91317,                 1.1815,                0.70169,                0.71002,                 0.6941,                0.33147,                 1.7944,                 1.2597,                 1.3298,             0.00060151,             0.00060151,             0.00060151
                     13,                 1.5797,                0.88827,                 1.1766,                0.64876,                0.71725,                0.70128,                0.33754,                 1.7823,                 1.1779,                 1.3108,             0.00058629,             0.00058629,             0.00058629
                     14,                 1.5573,                0.87903,                 1.1684,                0.68699,                0.70342,                0.72951,                0.34722,                 1.7764,                 1.2026,                 1.3268,             0.00057106,             0.00057106,             0.00057106
                     15,                 1.5376,                0.84841,                 1.1587,                0.63604,                0.66795,                0.63975,                 0.2966,                 1.8005,                 1.4679,                 1.3444,             0.00055583,             0.00055583,             0.00055583
                     16,                  1.539,                0.82643,                 1.1587,                0.73302,                 0.7027,                0.73644,                0.33646,                 1.7947,                 1.0241,                 1.3225,             0.00054061,             0.00054061,             0.00054061
                     17,                 1.5207,                0.81874,                 1.1539,                0.72306,                0.73172,                0.73543,                0.34364,                 1.8477,                 0.9906,                 1.3732,             0.00052538,             0.00052538,             0.00052538
                     18,                   1.53,                0.80617,                 1.1506,                0.69395,                0.71271,                0.71691,                0.31747,                 1.8707,                 1.1483,                  1.385,             0.00051015,             0.00051015,             0.00051015
                     19,                 1.4953,                0.79063,                 1.1441,                0.66173,                0.70911,                0.68985,                0.33164,                 1.8294,                  1.201,                 1.3642,             0.00049493,             0.00049493,             0.00049493
                     20,                  1.493,                0.78149,                 1.1398,                0.73988,                0.67213,                0.72121,                0.34012,                 1.8075,                0.97701,                 1.3442,              0.0004797,              0.0004797,              0.0004797
                     21,                  1.486,                0.77038,                 1.1417,                0.76763,                0.70923,                0.74602,                0.35367,                 1.7777,                 0.8986,                 1.3322,             0.00046448,             0.00046448,             0.00046448
                     22,                 1.4633,                0.74656,                  1.127,                0.71005,                0.71267,                0.71132,                0.33652,                 1.8551,                 1.1171,                 1.3681,             0.00044925,             0.00044925,             0.00044925
                     23,                 1.4562,                0.74597,                 1.1227,                0.64976,                0.67478,                0.68593,                0.33474,                  1.851,                 1.2658,                 1.3875,             0.00043402,             0.00043402,             0.00043402
                     24,                  1.448,                0.73101,                 1.1187,                0.76465,                0.69269,                0.74417,                0.35126,                 1.8182,                 0.9654,                 1.3632,              0.0004188,              0.0004188,              0.0004188
                     25,                 1.4265,                0.72224,                 1.1157,                0.70803,                0.66268,                0.67868,                0.31433,                 1.8523,                  1.247,                 1.3813,             0.00040357,             0.00040357,             0.00040357
