                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.4123,                 4.1508,                 1.1955,                0.01692,                0.05674,                0.03482,                0.01485,                 2.2307,                 3.6571,                 1.0238,             0.00025051,             0.00025051,             0.00025051
                      2,                 2.3434,                 2.7065,                 1.0397,                0.64113,                0.09839,                0.16753,                 0.0747,                 2.2807,                 2.9865,                 1.0316,             0.00050517,             0.00050517,             0.00050517
                      3,                 2.3137,                  1.915,                 1.0198,                0.55619,                0.20558,                0.24942,                0.11263,                 2.1975,                 1.9735,                 1.0253,             0.00075814,             0.00075814,             0.00075814
                      4,                 2.2088,                 1.4671,                 1.0011,                0.45483,                0.40726,                  0.372,                0.16427,                  2.189,                 1.4508,                 1.0116,             0.00076139,             0.00076139,             0.00076139
                      5,                 2.1395,                 1.2988,                0.99472,                0.49516,                0.46349,                 0.3984,                0.18235,                 2.0062,                 1.2376,                 0.9962,             0.00075885,             0.00075885,             0.00075885
                      6,                 2.0522,                 1.2404,                0.98528,                0.48755,                0.39888,                0.35611,                0.14844,                 2.3001,                 1.6872,                 1.0153,             0.00075631,             0.00075631,             0.00075631
                      7,                  2.037,                 1.1627,                 0.9744,                0.46172,                0.48515,                0.44495,                0.20773,                 1.9489,                 1.3746,                0.98276,             0.00075377,             0.00075377,             0.00075377
                      8,                 1.9617,                  1.141,                  0.977,                0.61114,                0.48224,                0.49543,                0.22646,                  1.928,                  1.173,                0.97525,             0.00075124,             0.00075124,             0.00075124
                      9,                 1.9436,                 1.1066,                0.97504,                0.53688,                0.51684,                0.48462,                0.22189,                 1.9824,                 1.2717,                0.97602,              0.0007487,              0.0007487,              0.0007487
                     10,                 1.9624,                  1.097,                0.97055,                0.47087,                0.54682,                0.48744,                 0.2121,                 1.9461,                 1.1614,                0.97458,             0.00074616,             0.00074616,             0.00074616
                     11,                 1.9063,                 1.0571,                0.96296,                0.51328,                0.52307,                0.49259,                0.22268,                 1.8975,                 1.2451,                0.97256,             0.00074362,             0.00074362,             0.00074362
                     12,                 1.9153,                  1.057,                0.96198,                0.56101,                0.57098,                0.53877,                0.22953,                 1.8941,                 1.1775,                0.97155,             0.00074109,             0.00074109,             0.00074109
                     13,                 1.9172,                 1.0356,                0.96112,                0.52899,                 0.5684,                0.54187,                0.23726,                 1.9563,                  1.136,                0.98727,             0.00073855,             0.00073855,             0.00073855
                     14,                 1.9018,                 1.0192,                0.95388,                0.56075,                0.59646,                0.56171,                0.25547,                 1.8675,                 1.0188,                 0.9675,             0.00073601,             0.00073601,             0.00073601
                     15,                 1.8618,                  1.007,                0.95409,                0.61244,                0.54634,                0.54686,                0.24941,                 1.8661,                 1.0876,                0.96226,             0.00073347,             0.00073347,             0.00073347
                     16,                 1.8455,                 1.0003,                0.95476,                0.57147,                0.59134,                0.54782,                0.23393,                 1.9913,                 1.1004,                0.97942,             0.00073093,             0.00073093,             0.00073093
                     17,                  1.843,                0.97762,                0.95535,                0.57401,                0.59909,                0.57035,                0.25708,                 1.8518,                 1.0369,                0.96233,              0.0007284,              0.0007284,              0.0007284
                     18,                 1.8702,                0.98066,                0.95401,                0.50663,                0.54159,                0.48726,                0.22147,                 1.8719,                 1.3061,                0.97125,             0.00072586,             0.00072586,             0.00072586
                     19,                 1.8268,                0.96222,                0.95121,                0.61252,                0.53724,                0.53498,                 0.2422,                 1.9319,                 1.0044,                0.97258,             0.00072332,             0.00072332,             0.00072332
                     20,                 1.8435,                0.98672,                0.94791,                0.56558,                0.55996,                0.54299,                0.24836,                 1.8768,                0.93894,                0.97049,             0.00072078,             0.00072078,             0.00072078
                     21,                 1.8044,                0.95439,                0.94972,                0.58545,                0.54751,                0.53123,                0.23977,                 1.8895,                0.95475,                0.96697,             0.00071825,             0.00071825,             0.00071825
                     22,                 1.8265,                0.95868,                 0.9537,                0.59055,                0.54751,                0.55484,                0.25208,                 1.9135,                 1.0073,                0.97409,             0.00071571,             0.00071571,             0.00071571
