                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.4123,                 4.1508,                 1.1955,                0.01692,                0.05674,                0.03482,                0.01485,                 2.2307,                 3.6571,                 1.0238,             0.00025051,             0.00025051,             0.00025051
                      2,                 2.3479,                 2.7056,                 1.0406,                0.64709,                0.07695,                0.16366,                0.07066,                  2.296,                 2.9196,                 1.0363,              0.0005035,              0.0005035,              0.0005035
                      3,                 2.3062,                 1.9092,                 1.0208,                0.38339,                0.24633,                0.26962,                0.12129,                 2.1728,                 1.9349,                 1.0191,              0.0007531,              0.0007531,              0.0007531
                      4,                  2.198,                 1.4688,                 1.0007,                0.46677,                0.43122,                0.37092,                0.16895,                 2.0865,                 1.4723,                0.99509,             0.00075377,             0.00075377,             0.00075377
                      5,                 2.1229,                 1.2857,                0.99482,                0.56294,                0.43994,                0.41544,                0.19037,                 2.0382,                 1.2104,                0.99641,              0.0007487,              0.0007487,              0.0007487
                      6,                 2.0348,                 1.2321,                0.98585,                0.56687,                0.45368,                0.39408,                0.16242,                 2.2041,                 1.5619,                 1.0045,             0.00074362,             0.00074362,             0.00074362
                      7,                 2.0249,                 1.1516,                0.97622,                0.47078,                0.51762,                   0.49,                 0.2181,                 1.9097,                 1.2945,                0.97638,             0.00073855,             0.00073855,             0.00073855
                      8,                 1.9536,                 1.1311,                0.97853,                0.62786,                0.46561,                0.47673,                0.20965,                 1.9558,                   1.19,                 0.9758,             0.00073347,             0.00073347,             0.00073347
                      9,                 1.9275,                 1.1013,                0.97486,                0.50536,                0.43461,                0.37777,                0.16851,                 1.9756,                 1.5541,                0.97128,              0.0007284,              0.0007284,              0.0007284
                     10,                 1.9474,                  1.091,                0.97122,                0.48462,                0.55164,                0.47834,                0.20441,                   1.97,                 1.2019,                0.98217,             0.00072332,             0.00072332,             0.00072332
                     11,                 1.8966,                 1.0552,                0.96409,                0.53564,                0.55035,                0.52922,                  0.241,                 1.8837,                 1.1492,                0.97052,             0.00071825,             0.00071825,             0.00071825
                     12,                 1.9147,                  1.053,                0.96515,                0.54413,                0.59548,                0.51731,                0.23427,                 1.8968,                 1.1539,                0.97178,             0.00071317,             0.00071317,             0.00071317
                     13,                 1.9008,                 1.0225,                0.96268,                0.52143,                0.56811,                0.53379,                0.23281,                 1.9235,                 1.1332,                0.97769,              0.0007081,              0.0007081,              0.0007081
                     14,                 1.8914,                 1.0233,                0.95541,                0.55213,                0.57616,                0.55648,                0.25321,                 1.8838,                 1.0387,                0.96781,             0.00070302,             0.00070302,             0.00070302
                     15,                 1.8461,                0.98782,                0.95572,                0.58299,                0.53276,                0.54208,                0.24714,                 1.8538,                 1.0663,                0.96055,             0.00069794,             0.00069794,             0.00069794
                     16,                 1.8363,                0.99111,                0.95516,                0.55833,                0.53893,                0.52044,                0.22432,                 2.0021,                 1.1238,                0.98202,             0.00069287,             0.00069287,             0.00069287
                     17,                 1.8311,                0.97802,                0.95556,                0.57065,                0.60499,                0.57002,                0.25717,                 1.8694,                 1.0183,                0.96768,             0.00068779,             0.00068779,             0.00068779
                     18,                  1.856,                0.98355,                0.95551,                0.58845,                0.55551,                0.54115,                0.24185,                 1.8325,                 1.0191,                0.96255,             0.00068272,             0.00068272,             0.00068272
