                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 1.7207,                0.88531,                0.93317,                 0.5388,                0.58369,                0.56089,                0.26169,                 1.7873,                0.98072,                0.95623,             0.00063958,             0.00063958,             0.00063958
                     36,                  1.742,                0.89364,                0.92922,                0.63025,                0.61842,                0.59537,                0.26831,                 1.7832,                0.99465,                0.95922,             0.00063577,             0.00063577,             0.00063577
                     37,                 1.7551,                0.88143,                 0.9347,                0.65556,                0.58366,                0.58515,                0.25254,                 1.8397,                  0.976,                0.96073,             0.00063196,             0.00063196,             0.00063196
                     38,                 1.7331,                0.88681,                0.93465,                0.65629,                 0.6028,                0.64287,                0.29731,                 1.7857,                0.88544,                0.96495,             0.00062816,             0.00062816,             0.00062816
                     39,                 1.7141,                0.86495,                0.93327,                0.58643,                0.59633,                0.57475,                0.25616,                 1.8398,                0.92304,                0.95882,             0.00062435,             0.00062435,             0.00062435
                     40,                 1.6991,                0.85548,                0.93305,                0.65301,                0.62106,                0.61619,                0.27638,                 1.7785,                0.87348,                0.95735,             0.00062054,             0.00062054,             0.00062054
                     41,                 1.7289,                0.88009,                0.92944,                0.61313,                0.63523,                0.61703,                0.28823,                 1.7401,                0.86943,                0.94934,             0.00061674,             0.00061674,             0.00061674
                     42,                 1.6994,                0.85687,                0.92705,                0.57296,                0.56471,                 0.5693,                0.24707,                  1.888,                 1.1556,                0.97338,             0.00061293,             0.00061293,             0.00061293
                     43,                 1.6928,                0.86614,                0.93125,                0.58953,                0.54319,                 0.5146,                0.23213,                 1.7899,                 1.2223,                0.96478,             0.00060912,             0.00060912,             0.00060912
                     44,                 1.7133,                0.85606,                0.93294,                0.60482,                0.59306,                 0.5639,                0.25437,                 1.8268,                 1.1693,                0.96024,             0.00060532,             0.00060532,             0.00060532
                     45,                 1.6851,                0.85014,                 0.9325,                 0.5696,                0.60466,                0.58382,                0.26774,                 1.8875,                0.99586,                0.97712,             0.00060151,             0.00060151,             0.00060151
                     46,                 1.7115,                0.84924,                0.93047,                  0.685,                0.57566,                0.62506,                0.28358,                 1.7834,                0.88064,                0.95591,             0.00059771,             0.00059771,             0.00059771
                     47,                 1.6852,                0.84365,                0.92313,                0.59938,                0.63253,                 0.5988,                0.27514,                 1.7954,                 1.0094,                 0.9569,              0.0005939,              0.0005939,              0.0005939
                     48,                 1.7191,                0.85244,                0.92737,                0.65016,                0.62214,                0.63643,                 0.2939,                 1.8521,                0.97048,                0.96859,             0.00059009,             0.00059009,             0.00059009
                     49,                 1.6855,                0.82949,                0.92676,                0.67049,                0.62977,                0.63583,                0.29761,                 1.7641,                0.83175,                0.95593,             0.00058629,             0.00058629,             0.00058629
                     50,                 1.7052,                0.83397,                 0.9279,                 0.6692,                0.61655,                0.64702,                0.29721,                 1.7901,                 0.8733,                0.94949,             0.00058248,             0.00058248,             0.00058248
                     51,                  1.714,                0.84225,                0.92949,                 0.7097,                0.57709,                0.61916,                0.28565,                 1.7735,                0.81925,                 0.9611,             0.00057867,             0.00057867,             0.00057867
                     52,                 1.6964,                0.85731,                0.93462,                0.63831,                 0.6327,                0.62021,                 0.2953,                 1.7776,                0.85269,                0.95242,             0.00057487,             0.00057487,             0.00057487
                     53,                 1.6726,                0.83718,                0.92382,                0.61907,                0.61569,                0.61557,                0.27533,                  1.789,                0.96099,                0.95688,             0.00057106,             0.00057106,             0.00057106
                     54,                  1.699,                0.82811,                0.92599,                0.74396,                0.56298,                0.63714,                0.29533,                 1.8198,                0.84906,                0.96373,             0.00056725,             0.00056725,             0.00056725
                     55,                 1.6586,                0.82257,                0.92707,                0.63806,                0.59592,                0.62326,                0.28846,                 1.7708,                0.88587,                0.95876,             0.00056345,             0.00056345,             0.00056345
                     56,                 1.6741,                0.81911,                 0.9251,                0.60501,                0.59629,                0.59107,                0.27219,                 1.8203,                0.97232,                0.96118,             0.00055964,             0.00055964,             0.00055964
                     57,                 1.6836,                0.85056,                0.92526,                0.67934,                0.61453,                0.63234,                0.28636,                 1.7807,                0.87465,                0.95883,             0.00055583,             0.00055583,             0.00055583
                     58,                 1.7089,                0.83227,                0.92318,                0.62809,                0.62363,                0.63118,                0.28029,                 1.7899,                 1.0168,                0.95968,             0.00055203,             0.00055203,             0.00055203
                     59,                 1.6594,                0.82729,                0.92645,                0.66045,                0.61655,                0.62472,                0.28655,                 1.8369,                0.85847,                0.96676,             0.00054822,             0.00054822,             0.00054822
                     60,                 1.6857,                0.81642,                0.92294,                0.65959,                0.66694,                0.65071,                0.29223,                 1.8666,                0.89551,                0.96936,             0.00054441,             0.00054441,             0.00054441
                     61,                 1.6721,                0.81797,                0.92004,                0.60312,                0.62692,                0.61044,                0.27105,                 1.8737,                0.99717,                0.96587,             0.00054061,             0.00054061,             0.00054061
                     62,                 1.6671,                0.80948,                0.92162,                0.61928,                0.61002,                0.61118,                0.28202,                 1.7988,                0.93808,                0.95762,              0.0005368,              0.0005368,              0.0005368
                     63,                 1.6391,                0.78435,                0.92102,                0.65971,                0.62111,                0.64515,                0.29093,                 1.7999,                0.81899,                0.96068,             0.00053299,             0.00053299,             0.00053299
                     64,                  1.658,                 0.8146,                0.91947,                0.66798,                0.60318,                0.61864,                0.28446,                 1.7952,                0.92506,                 0.9612,             0.00052919,             0.00052919,             0.00052919
                     65,                 1.6253,                0.80026,                0.92013,                0.63342,                  0.647,                0.61459,                0.27541,                 1.7749,                0.86308,                0.96183,             0.00052538,             0.00052538,             0.00052538
                     66,                 1.6692,                0.80094,                0.92154,                0.59184,                0.59733,                0.58405,                 0.2692,                 1.8435,                 1.2887,                0.96728,             0.00052157,             0.00052157,             0.00052157
                     67,                 1.6452,                0.80326,                0.91534,                0.70697,                0.59341,                0.62409,                0.27632,                 1.8752,                0.92121,                0.96818,             0.00051777,             0.00051777,             0.00051777
                     68,                 1.6695,                0.79002,                 0.9147,                0.69287,                0.61812,                0.62665,                0.27509,                 1.8477,                0.85141,                0.96967,             0.00051396,             0.00051396,             0.00051396
                     69,                  1.624,                0.78919,                0.91899,                0.58206,                0.60667,                0.59433,                0.25713,                 1.8541,                 1.0263,                0.96845,             0.00051015,             0.00051015,             0.00051015
                     70,                 1.6578,                0.79406,                0.91762,                0.66148,                0.60438,                 0.6325,                 0.2914,                 1.7421,                0.82311,                0.95765,             0.00050635,             0.00050635,             0.00050635
                     71,                 1.6488,                0.78875,                0.91431,                0.73904,                0.60773,                0.65553,                0.29379,                  1.842,                0.83147,                0.96758,             0.00050254,             0.00050254,             0.00050254
                     72,                  1.673,                0.80407,                0.91403,                 0.6409,                0.62638,                0.61453,                 0.2761,                 1.8168,                0.86394,                0.96061,             0.00049873,             0.00049873,             0.00049873
                     73,                 1.6053,                0.77477,                0.91954,                0.62265,                0.65544,                 0.6402,                0.27507,                 1.8061,                0.88351,                0.96303,             0.00049493,             0.00049493,             0.00049493
                     74,                 1.6437,                 0.8084,                0.91732,                0.64536,                0.63409,                0.61876,                0.27784,                 1.8396,                0.99836,                0.97123,             0.00049112,             0.00049112,             0.00049112
                     75,                 1.6264,                0.78539,                0.92106,                0.60792,                0.62946,                0.63326,                0.28591,                 1.8063,                0.97303,                0.96879,             0.00048732,             0.00048732,             0.00048732
                     76,                  1.609,                0.77189,                0.91696,                0.65948,                0.61888,                0.62499,                0.28593,                 1.7677,                0.95372,                0.95661,             0.00048351,             0.00048351,             0.00048351
                     77,                 1.5984,                0.77383,                0.91045,                0.64576,                0.61806,                0.62093,                0.27288,                 1.8076,                 1.0625,                0.96403,              0.0004797,              0.0004797,              0.0004797
                     78,                  1.613,                0.76741,                0.91189,                0.65168,                0.61449,                0.61373,                0.27771,                 1.7975,                0.99946,                0.96105,              0.0004759,              0.0004759,              0.0004759
                     79,                  1.614,                  0.782,                0.91305,                0.64039,                0.63439,                0.64953,                0.29147,                 1.7838,                0.79945,                0.95949,             0.00047209,             0.00047209,             0.00047209
                     80,                 1.6305,                0.78096,                0.91669,                0.70866,                 0.6424,                  0.668,                0.29038,                 1.7344,                0.79587,                 0.9536,             0.00046828,             0.00046828,             0.00046828
